,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
2962,JD50909,Arizona,3008.1,No,Basic,Bachelor,1/17/11,Employed,F,80681,Suburban,Married,74,31.0,12,0,1,Corporate Auto,Corporate L3,Offer2,Agent,355.2,Four-Door Car,Medsize,A
2963,ZH30674,Oregon,8408.31,No,Premium,Bachelor,2/3/11,Employed,M,84091,Urban,Married,105,18.0,48,0,9,Personal Auto,Personal L3,Offer3,Agent,380.56,Four-Door Car,Medsize,
2964,YG40323,Arizona,9124.6,No,Premium,Bachelor,1/17/11,Employed,M,99368,Rural,Married,113,34.0,6,0,3,Personal Auto,Personal L3,Offer1,Web,82.43,Four-Door Car,Medsize,
2966,QO56662,Arizona,2551.23,Yes,Basic,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15.0,67,0,1,Personal Auto,Personal L3,Offer3,Web,392.24,Two-Door Car,Small,A
2967,FL55134,Nevada,10408.97,Yes,Basic,High School or Below,2/18/11,Retired,M,20228,Suburban,Divorced,101,3.0,43,1,2,Personal Auto,Personal L3,Offer1,Branch,523.82,SUV,Medsize,A
2968,RY23571,California,2483.67,No,Basic,Bachelor,1/1/11,Employed,F,75615,Rural,Married,65,,39,0,1,Personal Auto,Personal L3,Offer2,Branch,156.55,Four-Door Car,Medsize,
2969,EN61670,,5332.46,,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,,30,0,7,Personal Auto,Personal L1,Offer2,Branch,309.58,Four-Door Car,Medsize,A
2970,CX34236,Oregon,9095.05,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,,42,0,5,Personal Auto,Personal L2,Offer2,Call Center,556.8,SUV,Medsize,A
2971,HW94513,Nevada,8481.31,No,Basic,High School or Below,1/2/11,Employed,M,67197,Urban,Divorced,74,,18,0,2,Personal Auto,Personal L3,Offer1,Branch,275.61,Two-Door Car,Medsize,
2972,ES39217,Oregon,7785.0,No,Extended,Bachelor,2/19/11,Employed,F,44897,Suburban,Married,99,22.0,46,1,7,Personal Auto,Personal L1,Offer4,Web,580.73,Four-Door Car,Small,
2973,RO25639,Nevada,5442.74,No,Basic,Doctor,2/3/11,Employed,F,25884,Urban,Married,69,18.0,36,3,9,Personal Auto,Personal L3,Offer2,Branch,292.27,Four-Door Car,Medsize,A
2974,DJ51510,Arizona,9322.09,No,Premium,High School or Below,2/10/11,Employed,F,70435,Rural,Married,116,0.0,50,0,4,Personal Auto,Personal L3,Offer3,Agent,67.88,Four-Door Car,Medsize,
2975,CE11667,Oregon,7582.11,Yes,Basic,College,2/3/11,Employed,M,64801,Urban,Married,64,23.0,19,0,2,Corporate Auto,Corporate L3,Offer2,Web,268.47,Four-Door Car,Medsize,A
2976,ZO20633,Oregon,2587.11,No,Basic,High School or Below,2/15/11,Employed,F,27861,Suburban,Married,65,22.0,67,0,1,Corporate Auto,Corporate L2,Offer3,Branch,312.0,Four-Door Car,Medsize,
2977,MC11907,California,4831.42,No,Basic,High School or Below,2/20/11,Medical Leave,F,23228,Suburban,Married,64,4.0,0,1,6,Corporate Auto,Corporate L3,Offer1,Agent,307.2,Four-Door Car,Medsize,
2978,ON91363,Washington,3730.14,No,Extended,College,1/3/11,Employed,M,75132,Suburban,Married,93,7.0,33,2,1,Personal Auto,Personal L2,Offer4,Call Center,446.4,Four-Door Car,Medsize,
2979,RN86953,California,7536.07,No,Basic,High School or Below,1/13/11,Employed,F,69674,Suburban,Married,62,14.0,18,1,2,Personal Auto,Personal L1,Offer3,Branch,297.6,Two-Door Car,Medsize,
2981,PR10005,Oregon,2916.42,No,Basic,Bachelor,2/1/11,Employed,M,85210,Rural,Divorced,74,23.0,76,0,1,Personal Auto,Personal L3,Offer4,Web,100.52,Four-Door Car,Medsize,
2982,DG30586,Oregon,2867.31,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
2985,ZW51071,Oregon,6622.05,No,Extended,High School or Below,1/14/11,Employed,F,80979,Rural,Divorced,84,32.0,27,2,3,Personal Auto,Personal L3,Offer1,Agent,25.96,Four-Door Car,Medsize,A
2986,GT89774,Arizona,17109.39,No,Extended,Bachelor,1/13/11,Employed,F,87139,Rural,Married,213,18.0,27,0,3,Personal Auto,Personal L3,Offer4,Agent,363.87,Luxury SUV,Medsize,A
2987,CU69816,California,2721.75,No,Basic,Bachelor,2/22/11,Medical Leave,M,22885,Suburban,Married,73,20.0,46,0,1,Corporate Auto,Corporate L2,Offer2,Web,386.25,Four-Door Car,Medsize,
2989,DE78840,Nevada,6991.25,No,Basic,Bachelor,2/22/11,Medical Leave,F,19019,Suburban,Married,186,7.0,46,0,1,Personal Auto,Personal L3,Offer4,Branch,1003.05,Luxury SUV,Medsize,A
2991,QA41472,Oregon,13355.49,No,Basic,Bachelor,1/14/11,Employed,M,34495,Urban,Married,113,27.0,29,0,2,Personal Auto,Personal L3,Offer3,Branch,389.67,SUV,Medsize,A
2992,EC28314,California,4984.62,Yes,Basic,Bachelor,1/11/11,Employed,M,86305,Rural,Married,62,1.0,99,0,5,Personal Auto,Personal L2,Offer2,Call Center,80.73,Four-Door Car,Medsize,
2994,IZ26849,Oregon,5524.31,No,Basic,Bachelor,1/26/11,Employed,F,70360,Suburban,Married,69,0.0,66,0,8,Personal Auto,Personal L3,Offer2,Branch,331.2,Two-Door Car,Small,
2995,DF49110,Oregon,8100.24,No,Basic,Doctor,1/12/11,Employed,M,89420,Urban,Married,67,3.0,83,0,2,Personal Auto,Personal L1,Offer2,Call Center,212.46,Four-Door Car,Medsize,
2998,QY81331,Arizona,8595.98,No,Basic,High School or Below,1/24/11,Employed,F,94242,Rural,Married,71,35.0,7,1,2,Personal Auto,Personal L1,Offer1,Agent,41.23,Four-Door Car,Medsize,
2999,DH14632,Oregon,8750.22,No,Basic,College,1/20/11,Employed,F,34695,Rural,Single,113,1.0,60,0,5,Personal Auto,Personal L3,Offer1,Call Center,100.32,SUV,Small,
3000,CR57148,Oregon,5960.58,No,Basic,Master,2/3/11,Employed,F,47945,Rural,Married,74,32.0,39,0,3,Personal Auto,Personal L3,Offer2,Branch,128.44,Two-Door Car,Medsize,
3001,SG82836,Oregon,6439.78,No,Extended,High School or Below,1/14/11,Employed,M,47412,Suburban,Married,81,10.0,39,0,7,Personal Auto,Personal L2,Offer1,Branch,421.82,Two-Door Car,Small,A
3002,WG51244,Oregon,21850.35,No,Basic,Bachelor,2/26/11,Employed,M,48107,Suburban,Divorced,190,6.0,34,2,2,Corporate Auto,Corporate L2,Offer1,Call Center,912.0,Luxury SUV,Small,
3003,KY29506,California,20395.97,No,Premium,College,2/27/11,Employed,F,92850,Suburban,Single,104,3.0,28,1,2,Personal Auto,Personal L2,Offer1,Agent,499.2,Four-Door Car,Small,
3005,NX93393,Oregon,4335.35,No,Premium,High School or Below,2/27/11,Employed,M,86096,Suburban,Married,108,30.0,1,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,518.4,Two-Door Car,Large,A
3006,TT47031,Arizona,5450.57,No,Basic,Bachelor,2/4/11,Employed,F,76389,Urban,Married,68,5.0,86,0,7,Personal Auto,Personal L1,Offer1,Web,262.0,Four-Door Car,Small,A
3007,FG43850,Oregon,7472.67,No,Extended,High School or Below,1/14/11,Employed,M,44385,Suburban,Single,97,6.0,31,0,7,Corporate Auto,Corporate L3,Offer4,Call Center,465.6,Four-Door Car,Small,
3008,DF94525,Oregon,4860.62,No,Basic,College,1/23/11,Medical Leave,M,25854,Suburban,Single,68,24.0,37,0,9,Personal Auto,Personal L3,Offer1,Branch,396.28,Four-Door Car,Medsize,
3009,OD56551,Oregon,5239.89,No,Basic,College,1/9/11,Employed,M,27978,Suburban,Single,69,3.0,21,1,7,Personal Auto,Personal L3,Offer1,Branch,447.91,Four-Door Car,Medsize,
3011,EP80820,California,5928.75,No,Basic,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74,17.0,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.57,Two-Door Car,Medsize,A
3012,JC33752,Oregon,6277.84,No,Extended,College,1/21/11,Employed,F,21024,Suburban,Single,82,32.0,8,1,9,Personal Auto,Personal L3,Offer2,Agent,450.13,Two-Door Car,Large,A
3014,KI19439,Oregon,5207.64,No,Basic,High School or Below,1/18/11,Employed,F,21952,Suburban,Married,66,20.0,31,0,6,Personal Auto,Personal L1,Offer4,Branch,316.8,Four-Door Car,Small,
3015,WY41435,Nevada,11960.48,No,Extended,College,2/18/11,Employed,F,52436,Rural,Single,76,3.0,38,0,2,Personal Auto,Personal L3,Offer4,Web,109.48,Four-Door Car,Medsize,
3017,SV28347,,8485.33,,Basic,High School or Below,2/14/11,Employed,M,32607,Suburban,Single,111,27.0,79,1,8,Corporate Auto,Corporate L3,Offer2,Branch,532.8,SUV,Medsize,
3018,MK73855,Washington,8109.36,No,Basic,High School or Below,2/12/11,Employed,F,32314,Suburban,Married,68,17.0,77,0,2,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,Medsize,
3019,LU30834,Oregon,14230.32,No,Basic,Bachelor,2/22/11,Employed,F,78046,Suburban,Divorced,119,22.0,91,2,2,Personal Auto,Personal L3,Offer1,Call Center,759.12,SUV,Small,A
3021,AM97901,Nevada,22986.15,No,Premium,College,1/23/11,Employed,F,84831,Suburban,Single,192,13.0,37,0,2,Special Auto,Special L1,Offer1,Branch,1336.93,Sports Car,Medsize,A
3023,BA75404,Oregon,5789.85,No,Basic,Doctor,1/19/11,Employed,F,77221,Urban,Married,71,2.0,49,0,7,Personal Auto,Personal L3,Offer2,Call Center,259.59,Four-Door Car,Medsize,A
3025,DB75522,,6988.4,,Extended,College,2/26/11,Employed,F,22436,Suburban,Married,89,24.0,21,0,3,Special Auto,Special L2,Offer2,Branch,427.2,Four-Door Car,Small,A
3026,RX14132,California,7228.01,No,Basic,High School or Below,1/6/11,Employed,M,25926,Suburban,Married,61,28.0,68,0,2,Personal Auto,Personal L1,Offer4,Agent,292.8,Two-Door Car,Small,A
3027,RH72839,Nevada,4669.23,Yes,Premium,High School or Below,2/14/11,Employed,F,76157,Suburban,Married,116,15.0,80,0,1,Personal Auto,Personal L1,Offer2,Call Center,556.8,Two-Door Car,Small,
3029,HS74723,Arizona,17441.64,No,Extended,College,1/23/11,Employed,F,80969,Suburban,Married,217,1.0,80,0,3,Personal Auto,Personal L3,Offer4,Web,1041.6,Luxury SUV,Small,
3032,WV37081,California,5158.58,No,Basic,College,1/13/11,Employed,M,25963,Urban,Married,66,11.0,35,0,9,Personal Auto,Personal L3,Offer2,Web,298.95,Four-Door Car,Medsize,A
3033,KS89479,Oregon,9095.05,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0,5,Personal Auto,Personal L3,Offer2,Call Center,556.8,SUV,Medsize,
3034,SN69015,California,6371.32,No,Extended,College,1/4/11,Employed,M,23797,Suburban,Married,81,10.0,57,0,3,Personal Auto,Personal L2,Offer2,Web,388.8,Four-Door Car,Medsize,A
3036,YH86106,Arizona,5764.86,No,Basic,Bachelor,2/11/11,Employed,M,40238,Suburban,Married,73,17.0,88,1,9,Personal Auto,Personal L3,Offer1,Branch,350.4,Four-Door Car,Medsize,A
3037,MA43940,Oregon,9343.2,No,Basic,High School or Below,2/13/11,Employed,M,75909,Suburban,Married,117,23.0,77,0,3,Special Auto,Special L3,Offer3,Branch,561.6,Sports Car,Medsize,A
3038,TF67147,Oregon,2248.45,Yes,Basic,Bachelor,1/29/11,Retired,F,24910,Suburban,Single,63,,63,0,1,Personal Auto,Personal L3,Offer1,Branch,347.86,Four-Door Car,Medsize,A
3041,XI52305,California,4984.62,Yes,Basic,Bachelor,1/11/11,Employed,M,86305,Rural,Married,62,1.0,99,0,5,Personal Auto,Personal L3,Offer2,Call Center,80.73,Four-Door Car,Medsize,
3042,PU73501,Arizona,8622.84,Yes,Basic,Bachelor,2/18/11,Employed,M,97361,Suburban,Single,73,6.0,85,0,2,Personal Auto,Personal L1,Offer1,Agent,350.4,Four-Door Car,Medsize,
3043,SV34223,California,20477.11,No,Basic,College,1/1/11,Employed,F,58317,Suburban,Married,73,0.0,56,0,2,Personal Auto,Personal L2,Offer4,Call Center,350.4,Four-Door Car,Medsize,A
3044,PE66545,Oregon,2545.52,No,Basic,Bachelor,2/1/11,Employed,M,29250,Suburban,Married,64,27.0,30,0,1,Personal Auto,Personal L3,Offer4,Agent,308.24,Two-Door Car,Small,A
3045,VF72557,Oregon,4772.94,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35.0,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,A
3046,UE19977,California,4379.77,No,Premium,College,2/22/11,Employed,F,47747,Rural,Divorced,111,31.0,76,0,1,Personal Auto,Personal L3,Offer3,Web,165.59,Two-Door Car,Medsize,
3047,KU85991,California,2592.44,Yes,Basic,High School or Below,1/2/11,Employed,M,72421,Suburban,Married,65,8.0,23,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,312.0,Four-Door Car,Small,
3048,SZ17657,Oregon,9012.92,No,Basic,College,1/18/11,Employed,F,67840,Rural,Married,112,34.0,56,0,5,Personal Auto,Personal L3,Offer2,Web,83.24,SUV,Small,
3049,SN21895,Arizona,6411.12,No,Extended,Bachelor,2/27/11,Medical Leave,F,13088,Suburban,Married,82,29.0,77,0,3,Personal Auto,Personal L3,Offer1,Agent,393.6,Four-Door Car,Small,
3050,LR35392,Oregon,9007.43,No,Premium,High School or Below,2/25/11,Employed,M,41539,Suburban,Single,116,11.0,35,0,3,Personal Auto,Personal L2,Offer1,Web,556.8,Four-Door Car,Medsize,
3051,DE21910,Oregon,7304.4,No,Extended,College,2/18/11,Employed,F,41025,Rural,Married,92,22.0,92,0,6,Personal Auto,Personal L3,Offer1,Agent,20.37,Four-Door Car,Large,A
3054,LZ19268,California,11638.9,Yes,Basic,College,1/26/11,Medical Leave,F,25370,Suburban,Married,102,10.0,77,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Sports Car,Large,
3055,XE72624,California,2536.89,No,Basic,High School or Below,2/15/11,Employed,F,34653,Suburban,Married,64,18.0,72,0,1,Corporate Auto,Corporate L1,Offer4,Branch,307.2,,,A
3056,XJ40322,California,5294.28,No,Basic,High School or Below,1/6/11,Employed,F,61687,Rural,Single,67,13.0,17,0,3,Personal Auto,Personal L2,Offer4,Web,120.13,Two-Door Car,Medsize,A
3057,MB90871,Oregon,5847.42,No,Extended,College,1/26/11,Medical Leave,F,23496,Rural,Married,77,17.0,88,0,8,Special Auto,Special L1,Offer3,Web,13.16,Four-Door Car,Medsize,
3059,WA84789,Washington,10700.5,No,Extended,Bachelor,2/24/11,Employed,F,75313,Suburban,Married,89,,64,0,2,Personal Auto,Personal L1,Offer1,Web,527.14,Four-Door Car,Medsize,
3060,MR50410,Nevada,5067.0,No,Extended,College,2/24/11,Employed,M,89703,Urban,Married,126,6.0,54,0,1,Personal Auto,Personal L1,Offer4,Branch,601.98,SUV,Medsize,A
3061,VM66678,Oregon,14024.36,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10.0,55,0,2,Personal Auto,Personal L2,Offer2,Web,256.44,Four-Door Car,Medsize,
3062,AM79057,,2287.92,,Basic,Bachelor,2/18/11,Employed,F,69024,Urban,Married,61,27.0,32,5,1,Personal Auto,Personal L2,Offer2,Web,238.53,Four-Door Car,Medsize,A
3063,OM37610,Nevada,13024.22,No,Premium,High School or Below,1/20/11,Employed,F,26312,Suburban,Married,110,,19,0,2,Personal Auto,Personal L3,Offer1,Web,565.84,Four-Door Car,Medsize,A
3064,RY27018,Washington,7228.99,No,Extended,High School or Below,1/5/11,Employed,M,53214,Suburban,Married,91,21.0,76,0,3,Personal Auto,Personal L3,Offer4,Call Center,436.8,Four-Door Car,Large,
3065,LH91968,Oregon,8838.09,Yes,Basic,Bachelor,1/21/11,Employed,M,82664,Rural,Married,114,24.0,10,3,9,Corporate Auto,Corporate L3,Offer2,Agent,133.43,SUV,Medsize,
3066,HD56196,Oregon,34090.04,No,Extended,Doctor,1/24/11,Employed,F,51840,Rural,Married,94,10.0,75,0,2,Corporate Auto,Corporate L1,Offer2,Agent,33.75,Two-Door Car,Small,A
3067,QW88350,Washington,7618.44,No,Basic,College,2/23/11,Employed,F,41900,Urban,Married,63,0.0,34,0,2,Corporate Auto,Corporate L3,Offer2,Web,170.5,Four-Door Car,Large,A
3069,WX30852,Arizona,2639.98,No,Basic,Bachelor,2/4/11,Employed,F,69819,Rural,Married,66,24.0,20,0,1,Personal Auto,Personal L1,Offer4,Agent,21.01,Four-Door Car,Medsize,A
3070,CF15252,Arizona,4344.52,No,Basic,Bachelor,2/25/11,Employed,F,48054,Suburban,Married,109,2.0,64,0,1,Personal Auto,Personal L1,Offer1,Call Center,523.2,SUV,Medsize,A
3071,PT46181,California,2471.15,No,Basic,College,1/26/11,Employed,M,65176,Suburban,Married,62,24.0,32,0,1,Personal Auto,Personal L3,Offer2,Branch,297.6,Four-Door Car,Medsize,
3072,IN95983,California,6798.27,No,Extended,College,1/10/11,Employed,F,32517,Suburban,Single,94,11.0,53,3,3,Special Auto,Special L3,Offer1,Branch,451.2,Four-Door Car,Small,A
3073,OR78439,Arizona,8658.86,Yes,Basic,College,2/7/11,Employed,M,62464,Urban,Married,109,23.0,45,0,4,Corporate Auto,Corporate L3,Offer2,Agent,400.18,Sports Car,Medsize,A
3074,KR50062,Oregon,2754.46,No,Basic,College,2/11/11,Employed,M,79507,Suburban,Married,70,,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,442.2,Two-Door Car,Medsize,
3075,AZ74055,Oregon,4115.58,No,Premium,High School or Below,2/23/11,Employed,M,52405,Suburban,Married,103,2.0,27,0,1,Personal Auto,Personal L3,Offer4,Call Center,494.4,Four-Door Car,Medsize,A
3077,TF68928,Arizona,6575.54,No,Extended,Bachelor,2/5/11,Disabled,M,10517,Urban,Single,92,14.0,65,0,3,Personal Auto,Personal L1,Offer1,Agent,441.54,Four-Door Car,Medsize,
3078,OP70207,Oregon,10506.88,No,Extended,College,2/14/11,Employed,M,37934,Urban,Divorced,137,2.0,58,1,8,Personal Auto,Personal L3,Offer1,Call Center,385.44,Sports Car,Medsize,A
3079,TD19026,California,2861.72,No,Basic,High School or Below,2/22/11,Employed,F,90083,Urban,Married,71,23.0,47,0,1,Personal Auto,Personal L3,Offer4,Agent,181.69,Two-Door Car,Medsize,A
3080,XB27698,Oregon,8622.84,Yes,Basic,Bachelor,2/18/11,Employed,M,97361,Suburban,Single,73,6.0,85,0,2,Personal Auto,Personal L1,Offer1,Agent,350.4,Four-Door Car,Medsize,A
3081,CX34236,Oregon,9095.05,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0,5,Personal Auto,Personal L2,Offer2,Call Center,556.8,,,
3082,FB84235,Oregon,5498.94,Yes,Basic,College,2/5/11,Medical Leave,M,22520,Suburban,Married,73,17.0,64,0,3,Personal Auto,Personal L2,Offer1,Branch,350.4,Four-Door Car,Medsize,A
3083,VH41477,Oregon,4742.11,No,Premium,High School or Below,1/10/11,Employed,M,63891,Rural,Married,119,13.0,13,0,1,Corporate Auto,Corporate L3,Offer4,Agent,7.65,Two-Door Car,Medsize,A
3085,AG47947,Washington,14024.36,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10.0,55,0,2,Personal Auto,Personal L3,Offer2,Web,256.44,Four-Door Car,Medsize,
3088,YP38413,Oregon,25805.51,No,Basic,College,2/28/11,Employed,F,86901,Urban,Single,72,24.0,73,0,2,Personal Auto,Personal L2,Offer1,Agent,313.37,Two-Door Car,Medsize,
3089,JZ61712,Nevada,3359.24,No,Extended,Bachelor,2/10/11,Employed,M,97576,Suburban,Married,83,1.0,49,1,1,Personal Auto,Personal L3,Offer4,Call Center,544.71,Two-Door Car,Large,A
3090,HC60268,Oregon,8346.02,No,Premium,College,1/23/11,Employed,M,40105,Suburban,Divorced,104,21.0,26,0,3,Personal Auto,Personal L2,Offer1,Web,878.41,Four-Door Car,Medsize,
3091,YX89016,,34931.0,,Premium,College,2/17/11,Employed,M,35005,Suburban,Married,295,14.0,46,0,2,Personal Auto,Personal L3,Offer2,Web,1416.0,Luxury Car,Small,
3092,WB21698,California,3723.11,No,Extended,High School or Below,2/7/11,Employed,F,31974,Urban,Married,92,25.0,77,0,1,Personal Auto,Personal L3,Offer2,Branch,388.14,Four-Door Car,Medsize,A
3093,PK79296,California,2602.21,No,Basic,College,2/1/11,Disabled,F,28995,Suburban,Married,67,28.0,42,0,1,Personal Auto,Personal L3,Offer2,Branch,321.6,Four-Door Car,Medsize,A
3094,YQ99152,Nevada,9787.81,No,Extended,High School or Below,1/7/11,Retired,M,10475,Suburban,Married,88,13.0,81,1,2,Personal Auto,Personal L2,Offer1,Branch,422.4,Two-Door Car,Small,A
3095,HU89665,Oregon,12128.37,No,Basic,College,2/25/11,Employed,F,20495,Suburban,Married,61,7.0,36,0,2,Personal Auto,Personal L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A
3097,OH11674,Arizona,8068.62,No,Basic,Bachelor,1/27/11,Employed,F,51584,Suburban,Divorced,69,11.0,98,2,2,Corporate Auto,Corporate L1,Offer1,Branch,368.92,Two-Door Car,Small,A
3098,GK67747,Washington,4386.28,Yes,Basic,College,2/11/11,Retired,M,10621,Suburban,Single,67,28.0,22,0,5,Special Auto,Special L3,Offer1,Agent,321.6,Four-Door Car,Medsize,A
3099,TU47984,Arizona,3733.03,No,Extended,College,1/18/11,Employed,F,21542,Suburban,Single,97,13.0,21,0,1,Personal Auto,Personal L2,Offer2,Agent,465.6,Four-Door Car,Medsize,
3100,UI36597,Oregon,31706.93,No,Extended,Bachelor,2/2/11,Employed,M,50719,Suburban,Married,131,33.0,79,0,2,Personal Auto,Personal L2,Offer1,Call Center,870.63,SUV,Small,
3103,OQ45659,Arizona,41745.01,No,Premium,College,1/1/11,Employed,F,45431,Suburban,Married,116,23.0,81,0,2,Personal Auto,Personal L3,Offer2,Branch,556.8,Four-Door Car,Medsize,A
3104,IB39821,Arizona,9011.13,No,Basic,Bachelor,1/1/11,Employed,M,88708,Urban,Married,112,6.0,71,0,9,Personal Auto,Personal L2,Offer2,Agent,499.66,Sports Car,Small,A
3106,CE21829,Oregon,10856.18,No,Extended,College,1/30/11,Employed,M,37233,Rural,Divorced,136,29.0,91,0,5,Personal Auto,Personal L3,Offer1,Call Center,242.55,SUV,Small,
3107,JN49891,Oregon,2534.95,No,Basic,College,1/4/11,Employed,M,94003,Suburban,Single,64,14.0,39,0,1,Personal Auto,Personal L2,Offer2,Call Center,307.2,Four-Door Car,Medsize,
3108,SO47345,Arizona,9403.88,No,Basic,Master,1/26/11,Employed,F,56410,Urban,Married,117,13.0,73,0,3,Personal Auto,Personal L2,Offer1,Agent,524.0,SUV,Medsize,A
3110,WY27579,Oregon,7229.33,No,Extended,Bachelor,1/8/11,Employed,M,60345,Rural,Single,93,22.0,10,0,5,Personal Auto,Personal L3,Offer2,Web,36.11,Two-Door Car,Large,
3114,WG33213,California,2808.08,No,Basic,Bachelor,1/23/11,Employed,F,55005,Suburban,Divorced,70,31.0,39,1,1,Personal Auto,Personal L2,Offer4,Call Center,336.0,Four-Door Car,Medsize,A
3115,LD49835,California,4307.42,No,Basic,High School or Below,1/17/11,Employed,M,73345,Suburban,Married,107,,62,0,1,Personal Auto,Personal L1,Offer4,Agent,513.6,SUV,Medsize,
3116,SS20130,Oregon,5424.26,No,Basic,Bachelor,2/27/11,Employed,F,67414,Rural,Married,68,7.0,37,0,8,Personal Auto,Personal L1,Offer2,Branch,148.78,Four-Door Car,Medsize,
3117,LE12782,Arizona,4466.98,No,Basic,College,1/10/11,Employed,M,28663,Suburban,Married,61,15.0,8,4,7,Personal Auto,Personal L2,Offer4,Agent,292.8,Four-Door Car,Medsize,A
3119,AB26022,Oregon,7998.35,No,Basic,High School or Below,1/10/11,Retired,M,26487,Suburban,Single,112,0.0,82,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,602.43,SUV,Medsize,
3120,WW31823,Oregon,19190.32,No,Basic,High School or Below,1/22/11,Employed,F,39034,Suburban,Married,68,10.0,55,0,2,Personal Auto,Personal L1,Offer1,Agent,466.45,Four-Door Car,Small,A
3121,LX27768,Oregon,4202.66,No,Basic,Bachelor,1/14/11,Employed,F,74057,Suburban,Married,105,12.0,75,1,1,Personal Auto,Personal L2,Offer3,Branch,632.24,SUV,Small,
3122,FY67942,California,11830.95,No,Premium,College,1/20/11,Employed,F,92931,Urban,Married,146,6.0,38,0,7,Personal Auto,Personal L3,Offer1,Branch,503.14,SUV,Small,
3124,SB66770,Arizona,14435.67,Yes,Premium,Master,1/26/11,Employed,M,60880,Rural,Married,119,25.0,89,0,2,Corporate Auto,Corporate L2,Offer1,Agent,109.91,Two-Door Car,Medsize,A
3125,ON59472,Arizona,15771.39,No,Extended,High School or Below,2/26/11,Medical Leave,M,21921,Suburban,Married,206,14.0,44,0,3,Corporate Auto,Corporate L2,Offer1,Branch,1254.14,Luxury SUV,Large,A
3126,GB35238,California,7579.53,No,Basic,Bachelor,1/9/11,Employed,F,33906,Suburban,Married,64,25.0,49,0,2,Personal Auto,Personal L2,Offer1,Branch,401.59,Two-Door Car,Small,
3127,WH77063,Arizona,4351.55,No,Premium,High School or Below,2/9/11,Employed,F,74163,Suburban,Married,108,,63,0,1,Personal Auto,Personal L1,Offer4,Agent,518.4,,,
3128,UV53712,California,5562.46,No,Basic,College,2/19/11,Employed,F,59649,Rural,Married,69,33.0,71,1,8,Personal Auto,Personal L3,Offer2,Web,167.74,Four-Door Car,Medsize,
3129,TN71469,Oregon,4349.1,No,Basic,College,2/5/11,Employed,F,90893,Suburban,Single,110,33.0,0,0,1,Personal Auto,Personal L3,Offer2,Web,700.0,SUV,Medsize,
3130,PG50529,California,5580.92,No,Basic,High School or Below,2/10/11,Employed,F,31972,Suburban,Married,70,4.0,89,0,3,Personal Auto,Personal L3,Offer1,Call Center,416.26,Four-Door Car,Small,
3131,MD87746,,7507.46,,Basic,College,2/6/11,Employed,M,60920,Urban,Single,64,10.0,61,0,2,Personal Auto,Personal L2,Offer2,Agent,231.2,,,
3134,AX86150,,2656.71,,Basic,High School or Below,2/9/11,Employed,M,62777,Rural,Single,67,34.0,32,0,1,Personal Auto,Personal L1,Offer4,Agent,101.29,Two-Door Car,Medsize,A
3135,OO62338,Oregon,7099.57,No,Basic,Bachelor,1/3/11,Disabled,M,16121,Suburban,Married,65,5.0,85,2,2,Corporate Auto,Corporate L1,Offer1,Web,312.0,Four-Door Car,Small,
3136,ZU74482,Oregon,7507.46,Yes,Basic,College,2/6/11,Employed,M,60920,Urban,Single,64,10.0,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.2,Two-Door Car,Medsize,
3137,WJ74851,Nevada,5700.76,No,Basic,Bachelor,2/19/11,Employed,F,26811,Suburban,Married,72,22.0,82,0,3,Personal Auto,Personal L3,Offer4,Agent,465.76,Two-Door Car,Medsize,
3142,RJ68578,Oregon,8110.7,No,Basic,High School or Below,2/14/11,Employed,M,76879,Suburban,Married,101,20.0,44,0,5,Corporate Auto,Corporate L3,Offer2,Web,487.1,Sports Car,Large,A
